iter	RMSE
240	4.559197087
241	4.558958452
242	4.55599351
243	4.551187119
244	4.548842604
245	4.544800098
246	4.54086941
247	4.537079968
248	4.535653519
249	4.532123329
250	4.525488871
251	4.522603298
252	4.517930188
253	4.515448853
254	4.511704012
255	4.506865144
256	4.50487528
257	4.500598627
258	4.497115257
259	4.490154788
260	4.489149924
261	4.485915292
262	4.484391728
263	4.477542748
264	4.476640917
265	4.472897736
266	4.471805512
267	4.467974188
268	4.461344428
269	4.457278763
270	4.451569221
271	4.447812565
272	4.444250761
273	4.439732886
274	4.437272109
275	4.435007676
276	4.427526772
277	4.427033797
278	4.422305489
279	4.418193164
280	4.413704264
281	4.412074887
282	4.409138129
283	4.404406599
284	4.401180683
285	4.395738002
286	4.392023215
287	4.389422688
288	4.38594881
289	4.379329142
290	4.376098549
291	4.373426274
292	4.37141633
293	4.368828314
294	4.365099077
295	4.360198476
296	4.354617626
297	4.353845617
298	4.352520961
299	4.349284945
300	4.343720167
301	4.337267226
302	4.334393054
303	4.331701779
304	4.325873512
305	4.3204649
306	4.315632341
307	4.311755372
308	4.307729839
309	4.304074913
310	4.301910341
311	4.298190423
312	4.293953529
313	4.293603986
314	4.290584002
315	4.285431582
316	4.279989544
317	4.27498471
318	4.272345384
319	4.267612267
320	4.265076725
321	4.264408266
322	4.262169697
323	4.257281852
324	4.254877006
325	4.2547452
326	4.252298031
327	4.247354658
328	4.243870251
329	4.239060542
330	4.235916212
331	4.232868012
332	4.23020746
333	4.22991352
334	4.226506456
335	4.220967284
336	4.217322456
337	4.213496631
338	4.208562391
339	4.205181197
340	4.198828614
341	4.194978847
342	4.189795546
343	4.187855162
344	4.186871443
345	4.184981416
346	4.1808201
347	4.179160636
348	4.177434105
349	4.175801547
350	4.172115956
351	4.171181097
352	4.167016959
353	4.164404391
354	4.162145745
355	4.159234115
356	4.154582144
357	4.15000033
358	4.148262911
359	4.143276254
360	4.142090382
361	4.138157001
362	4.131710704
363	4.128974102
364	4.124766508
365	4.122683551
366	4.116418987
367	4.113932208
368	4.109021601
369	4.104919416
370	4.102813565
371	4.100080268
372	4.09920068
373	4.096211977
374	4.092840996
375	4.089148005
376	4.085307611
377	4.081666602
378	4.079180912
379	4.075812664
380	4.073145965
381	4.067452215
382	4.062091797
383	4.060990777
384	4.060528949
385	4.05630047
386	4.052763462
387	4.049652026
388	4.045310598
389	4.042824705
390	4.039378132
391	4.03490519
392	4.030856295
393	4.027356214
394	4.022624868
395	4.018245246
396	4.017444473
397	4.015835837
398	4.01211068
399	4.007993028
400	4.004765242
401	4.001161158
402	3.995855952
403	3.99224486
404	3.991822074
405	3.991175844
406	3.988409963
407	3.984526047
408	3.982531838
409	3.979629169
410	3.976399745
411	3.97412084
412	3.970821722
413	3.968444972
414	3.966375986
415	3.96528051
416	3.964257766
417	3.961363105
418	3.959015396
419	3.954705223
420	3.950910169
421	3.948468445
422	3.942259289
423	3.9400321
424	3.937081389
425	3.934797231
426	3.934559371
427	3.930978839
428	3.927885647
429	3.924429618
430	3.921346084
431	3.920532821
432	3.919799547
433	3.918037067
434	3.914021879
435	3.912042535
436	3.910641983
437	3.910102928
438	3.906203208
439	3.90568068
440	3.901777341
441	3.898691185
442	3.89733954
443	3.893235154
444	3.889622103
445	3.888152035
446	3.886968012
447	3.886768734
448	3.885184424
449	3.883978321
450	3.880397404
451	3.877051868
452	3.873334927
453	3.872368014
454	3.869560804
455	3.865812994
456	3.863542431
457	3.859773031
458	3.857164384
459	3.855754366
460	3.851962662
461	3.846199988
462	3.846095743
463	3.842410616
464	3.841743299
465	3.838904372
466	3.835628854
467	3.833506298
468	3.831322732
469	3.829748177
470	3.827650493
471	3.823181225
472	3.822503431
473	3.821442634
474	3.820708673
475	3.817956703
476	3.816623123
477	3.812532445
478	3.812146061
479	3.808581921
480	3.804722312
481	3.80212563
482	3.798637899
483	3.795328859
484	3.794676223
485	3.79087062
486	3.787433866
487	3.784859455
488	3.783570551
489	3.781492987
490	3.780391136
491	3.779552178
492	3.776578302
493	3.774070574
494	3.773348152
495	3.77091493
496	3.770036044
497	3.766405208
498	3.763458609
499	3.762358595
500	3.761640007
501	3.761521195
502	3.757775903
503	3.755049925
504	3.750999683
505	3.747679234
506	3.745403527
507	3.743913405
508	3.740381028
509	3.739404198
510	3.736758407
511	3.733773157
512	3.733426704
513	3.730894849
514	3.728969926
515	3.72548581
516	3.722098309
517	3.719105655
518	3.71694914
519	3.714791362
520	3.71286461
521	3.712271588
522	3.708987977
523	3.703760977
524	3.700449926
525	3.69996336
526	3.698694097
527	3.696584184
528	3.694925502
529	3.693540013
530	3.691165173
531	3.690897118
532	3.68878841
533	3.685490409
534	3.685159161
535	3.681442773
536	3.680127723
537	3.67866836
538	3.676678371
539	3.676530852
540	3.675729706
541	3.672661102
542	3.670869308
543	3.670197823
544	3.666636795
545	3.662521354
546	3.659215055
547	3.656469184
548	3.654520786
549	3.649713817
550	3.647128192
551	3.644455209
552	3.641933758
553	3.640018886
554	3.638707406
555	3.637409733
556	3.636072251
557	3.635403544
558	3.631509949
559	3.631168992
560	3.630337783
561	3.627921618
562	3.627396213
563	3.625098232
564	3.622802027
565	3.620084051
566	3.61773166
567	3.616366279
568	3.615746429
569	3.613923926
570	3.6120147
571	3.610787498
572	3.607810627
573	3.604553867
574	3.601387139
575	3.595393898
576	3.595304876
577	3.592104504
578	3.591027468
579	3.588442357
580	3.587002805
581	3.584225486
582	3.583710042
583	3.581552685
584	3.579152947
585	3.576955466
586	3.574572156
587	3.574301312
588	3.57113169
589	3.569124648
590	3.567678424
591	3.565431799
592	3.561820621
593	3.560822833
594	3.560138964
595	3.558025958
596	3.557411891
597	3.555693837
598	3.553463514
599	3.55109876
600	3.549650943
601	3.545921582
602	3.545546351
603	3.5431689
604	3.542013363
605	3.539181753
606	3.536964647
607	3.534543979
608	3.53297452
609	3.532380602
610	3.531790156
611	3.531473361
612	3.528610587
613	3.528263736
614	3.526317098
615	3.524061424
616	3.523707061
617	3.521864069
618	3.5213987
619	3.520968437
620	3.517714535
621	3.514074001
622	3.513773171
623	3.513332726
624	3.509634483
625	3.505851215
626	3.503638608
627	3.501150952
628	3.499412553
629	3.496632453
630	3.494599662
631	3.492431236
632	3.486490881
633	3.48612426
634	3.484549483
635	3.482109869
636	3.481837547
637	3.478668999
638	3.478088411
639	3.476232782
640	3.475201386
641	3.473440973
642	3.470781883
643	3.468470825
644	3.467007932
645	3.465312025
646	3.463456319
647	3.463020939
648	3.46161357
649	3.459594842
650	3.456695909
651	3.452475803
652	3.450645087
653	3.448355671
654	3.446533952
655	3.4443555
656	3.442833114
657	3.439342901
658	3.438142478
659	3.435807265
660	3.433224208
661	3.432388281
662	3.428892713
663	3.426994866
664	3.426577135
665	3.423697275
666	3.420665085
667	3.418881641
668	3.418240786
669	3.415826932
670	3.413133581
671	3.409905923
672	3.407755014
673	3.407502293
674	3.405294316
675	3.403574122
676	3.400842785
677	3.397510425
678	3.397162204
679	3.39439327
680	3.393929873
681	3.390538404
682	3.388445487
683	3.386197569
684	3.385272842
685	3.383176334
686	3.380522582
687	3.380171694
688	3.378906014
689	3.375889663
690	3.374150104
691	3.372314665
692	3.369924317
693	3.367442587
694	3.367415113
695	3.365055457
696	3.363274401
697	3.360345388
698	3.357505965
699	3.355963379
700	3.353021769
701	3.351634529
702	3.350096294
703	3.349153384
704	3.346376884
705	3.344430898
706	3.341845857
707	3.33835341
708	3.336956276
709	3.336737611
710	3.334036187
711	3.331299395
712	3.329875727
713	3.329025901
714	3.328342305
715	3.326379147
716	3.323481185
717	3.321267498
718	3.319387962
719	3.317473993
720	3.317189628
721	3.315259864
722	3.314293128
723	3.311419519
724	3.308689176
725	3.30818853
726	3.305428957
727	3.303466409
728	3.30191101
729	3.301158862
730	3.299053571
731	3.29714084
732	3.295499764
733	3.294254587
734	3.29367736
735	3.291732111
736	3.290423439
737	3.28868262
738	3.288331944
739	3.288125671
740	3.288080114
741	3.285872911
742	3.284926079
743	3.281035174
744	3.279863955
745	3.278458303
746	3.277093764
747	3.275416736
748	3.274381131
749	3.272375589
750	3.270973469
751	3.270741384
752	3.270373934
753	3.267691414
754	3.26542313
755	3.265236741
756	3.26294568
757	3.261170906
758	3.259815109
759	3.257918605
760	3.255880107
761	3.254352209
762	3.253396453
763	3.25209544
764	3.249939022
765	3.248276561
766	3.24629782
767	3.244706429
768	3.243313226
769	3.240639215
770	3.23958522
771	3.239213448
772	3.238238497
773	3.23698509
774	3.236355233
775	3.233646457
776	3.232843195
777	3.231687973
778	3.230793331
779	3.229474594
780	3.229307783
781	3.227663788
782	3.224985092
783	3.221751235
784	3.221513516
785	3.219131698
786	3.218357325
787	3.21682577
788	3.214563873
789	3.214209365
790	3.212249337
791	3.209551527
792	3.208027431
793	3.206498073
794	3.203515589
795	3.201923616
796	3.198924652
797	3.197989244
798	3.196789028
799	3.1953756
800	3.193261329
801	3.192220921
802	3.19011849
803	3.189098226
804	3.187642481
805	3.185446235
806	3.185393281
807	3.18341946
808	3.18327666
809	3.180172292
810	3.177428125
811	3.176918203
812	3.174856543
813	3.172751917
814	3.170364139
815	3.168756264
816	3.168366818
817	3.168141012
818	3.164809586
819	3.16268958
820	3.160629589
821	3.158353837
822	3.157750918
823	3.155103886
824	3.152912585
825	3.151479113
826	3.148797089
827	3.145874219
828	3.145640113
829	3.144399154
830	3.13902203
831	3.138143454
832	3.137545462
833	3.132430725
834	3.130826034
835	3.130051944
836	3.128373811
837	3.126042456
838	3.125261485
839	3.123691494
840	3.123226226
841	3.122591171
842	3.120184457
843	3.119632104
844	3.118828815
845	3.118416879
846	3.117027902
847	3.114481118
848	3.114392428
849	3.112607879
850	3.111969497
851	3.110748635
852	3.109424522
853	3.107449257
854	3.104374126
855	3.103637666
856	3.103285903
857	3.100661514
858	3.100220345
859	3.099380744
860	3.099194871
861	3.098916237
862	3.096939086
863	3.094574278
864	3.091814714
865	3.091589177
866	3.090952705
867	3.089735934
868	3.089413112
869	3.08744181
870	3.085093053
871	3.08377054
872	3.083554847
873	3.081816244
874	3.080525594
875	3.079769984
876	3.077837766
877	3.075695744
878	3.073895849
879	3.072707369
880	3.072658614
881	3.072461138
882	3.07012347
883	3.068874488
884	3.067606432
885	3.067250095
886	3.067025652
887	3.065244683
888	3.065127773
889	3.064820699
890	3.063071393
891	3.060919485
892	3.05765408
893	3.055131454
894	3.054807658
895	3.05458423
896	3.053393889
897	3.053328326
898	3.051503195
899	3.049820411
900	3.047627915
901	3.045299521
902	3.043948427
903	3.042760659
904	3.04211935
905	3.04046002
906	3.038002022
907	3.035304606
908	3.03213339
909	3.03081198
910	3.029214977
911	3.027752057
912	3.027166088
913	3.026242624
914	3.025183975
915	3.024531169
916	3.02445233
917	3.023324831
918	3.021241326
919	3.018522684
920	3.01693823
921	3.016836272
922	3.014721427
923	3.0135001
924	3.013395967
925	3.011044918
926	3.008772827
927	3.007150001
928	3.00495928
929	3.003955396
930	3.003034629
931	3.002330124
932	2.999407521
933	2.99742614
934	2.997147962
935	2.996985419
936	2.992301163
937	2.992179578
938	2.991912963
939	2.991848112
940	2.990328291
941	2.989634847
942	2.988282524
943	2.986354585
944	2.986118794
945	2.984273117
946	2.983964128
947	2.982314861
948	2.980269303
949	2.979241108
950	2.976530946
951	2.974682195
952	2.970609667
953	2.96891492
954	2.966092612
955	2.964906526
956	2.964345047
957	2.963662412
958	2.962939451
959	2.961654304
960	2.961286034
961	2.960482571
962	2.958410606
963	2.953755911
964	2.953562401
965	2.952375472
966	2.950868859
967	2.950383029
968	2.949704849
969	2.949522356
970	2.947411544
971	2.946473635
972	2.945934087
973	2.94414144
974	2.944057082
975	2.943048392
976	2.941754645
977	2.939345727
978	2.938453804
979	2.937259159
980	2.936160297
981	2.934520414
982	2.932952083
983	2.932902374
984	2.932803699
985	2.931791794
986	2.930629912
987	2.929461536
988	2.928209199
989	2.926111394
990	2.926065114
991	2.925481479
992	2.924982439
993	2.92207282
994	2.920448403
995	2.918635603
996	2.917950992
997	2.917144348
998	2.915116227
999	2.91317905
